_id,Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
6450,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,17,22,42,912,64,976
6451,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,18,15,39,704,54,758
6452,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,19,14,37,490,50,540
6453,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,20,8,30,422,38,460
6454,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,21,8,32,304,40,344
6455,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,22,5,30,194,34,229
6456,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",3,23,1,19,92,20,112
6457,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",4,0,2,12,60,14,74
6458,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",4,1,2,15,37,17,54
6459,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",4,2,2,16,32,18,50
6460,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",4,3,3,17,30,20,49
